year,occ,ag,natres,constr,man_hvy,man_lgt,man_tech,man_bio,logis,ret_loc,ret_reg,transp,util,info,fire,lease,prof,serv_bus,art_rec,hotel,eat,serv_per,health,serv_soc,ed_k12,ed_high,ed_oth,gov,unclass
2049,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
