id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate
2526,5,Fremont,ComNResMed2,0.3,52,15,,1,1,1,0,0,0,0,0,0,1,0,1,1,0,
2527,5,Fremont,ComThResM3,0.3,52,18,,1,1,1,0,1,0,0,0,0,1,1,1,1,0,
2528,5,Fremont,INDG,0.45,60,,,0,0,0,1,0,0,1,1,0,1,0,0,0,0,
2529,5,Fremont,INDLT,0.45,60,,,0,0,0,1,0,0,1,1,1,1,0,0,0,0,
2530,5,Fremont,INDR,0.45,60,,,0,0,0,1,0,0,1,1,1,1,0,0,0,0,
2531,5,Fremont,OSHF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2532,5,Fremont,OSHIL,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2533,5,Fremont,OSI,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2534,5,Fremont,OSOS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2535,5,Fremont,OSP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2536,5,Fremont,AG,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2537,5,Fremont,OSVL1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2538,5,Fremont,OSVL2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2539,5,Fremont,PF,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2540,5,Foster City,607 - Single Family Residential,0.5,45,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2601,6,Foster City,607 - Two Family Residential,,,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2602,6,Foster City,607 - Townhouse Residential,,,10,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2603,6,Foster City,607 - Condominium Residential,,,15,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2604,6,Foster City,607 - Apartment Residential,,,35,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2605,6,Foster City,607 - Town Center Commercial,,,35,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2606,6,Foster City,607 - Town Center Other,2,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2607,6,Foster City,607 - Neighborhood Commercial,0.54,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2608,6,Foster City,607 - Apartment Residential/Neighborhood Commercial,0.3,,35,,0,0,1,1,0,0,0,0,0,1,0,1,0,1,
2609,6,Foster City,607 - Service Commercial,0.3,,35,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,
2610,6,Foster City,607 - Water Commercial,0.98,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2611,6,Foster City,607 - Light Industrial,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2612,6,Foster City,607 - Research/Office Park,0.6,,,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,
2613,6,Foster City,607 - Elementary School,1,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
2614,6,Foster City,607 - Open Space,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2615,6,Foster City,607 - Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2616,6,Foster City,607 - Public/Semi Public,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2617,6,Foster City,607 - Water,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2618,6,Half Moon Bay,608 - Low Density Residential,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2701,7,Half Moon Bay,608 - Medium Density Residential,0.5,28,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2702,7,Half Moon Bay,608 - High Density Residential,0.5,28,8.7,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
2703,7,Half Moon Bay,608 - Commercial Downtown,,40,29,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2704,7,Half Moon Bay,608 - Commercial Recreation,0.75,36,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
2705,7,Half Moon Bay,608 - General Commercial,0.5,28,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
2706,7,Half Moon Bay,608 - Visitor Serving Commercial,0.75,36,,,0,0,1,1,1,0,1,0,0,1,0,0,1,1,
2707,7,Half Moon Bay,608 - Public Facilities and Institutions,0.5,28,,,0,0,1,1,1,0,0,0,0,1,0,0,1,1,
2708,7,Half Moon Bay,608 - Light Industrial,1,50,8.7,,0,0,0,1,0,1,1,0,0,1,0,0,0,1,
2709,7,Half Moon Bay,608 - Urban Reserve,,40,4.35,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2710,7,Half Moon Bay,608 - Open Space Reserve,,28,0.07,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2711,7,Half Moon Bay,608 - Regional Public Recreation,,28,0.02,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2712,7,Half Moon Bay,608 - Greenbelt - Stream Corridor,,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2713,7,Half Moon Bay,608 - Horticultural Business,,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2714,7,Half Moon Bay,608 - Planned Development District,,35,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2715,7,Half Moon Bay,608 - Mobile Home Park,,,,,1,1,1,1,0,1,1,1,1,1,1,0,0,0,
2716,7,Benicia,801 - Residential - Low Density,,,21.8,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2801,8,Benicia,801 - Residential - Medium Density,,,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2802,8,Benicia,801 - Residential - High Density,,,14,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
2803,8,Benicia,801 - Commercial - Downtown,,,21,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
2804,8,Benicia,801 - Commercial - General,2.4,,,,0,1,1,1,1,0,0,0,0,1,0,1,1,0,
2805,8,Benicia,801 - Commercial - Community,1.2,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
2806,8,Benicia,801 - Commercial - Business and Professional,1.2,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2807,8,Benicia,801 - Commercial - Waterfront,1.2,,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
2808,8,Benicia,801 - Industrial - General,1.2,,,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,
2809,8,Benicia,801 - Industrial - Limited,0.7,,,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,
2810,8,Benicia,801 - Industrial - Waterfront,0.7,,,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,
2811,8,Benicia,801 - Mixed Use - Downtown,0.7,,,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,
2812,8,Benicia,801 - Mixed Use - Lower Arsenal,2,,,,0,1,1,1,0,1,0,0,0,1,0,1,1,1,
2813,8,Benicia,801 - Public and Quasi-Public,2,,,,0,1,1,1,0,1,1,0,0,0,0,1,1,1,
2814,8,Benicia,801 - Open Space - General,1.2,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2815,8,Benicia,801 - Open Space - Parks,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2816,8,Benicia,801 - Open Space - Marsh,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2817,8,Dixon,802 - Very Low Density Residential,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2901,9,Dixon,802 - Low Density Residential,,,2.2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2902,9,Dixon,802 - Medium-Low Density Residential,,,6.2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2903,9,Dixon,802 - Medium-High Density Residential,,,14.5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
2904,9,Dixon,802 - Future Residential,,,21.8,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
2906,9,Dixon,802 - Downtown Commercial,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
